City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,La Asuncion,VE,78.69,broken clouds,11.0333,-63.8628,Colinas de Matasiete
9,Rikitea,PF,75.52,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Coahuayana,MX,77.14,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
13,Sinnamary,GF,77.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
16,Kavaratti,IN,81.73,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
18,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Bowen,AU,81.97,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
23,Rio Hato,PA,80.78,scattered clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
28,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
29,Victoria,HK,86.05,clear sky,22.2855,114.1577,Mini Hotel Central
32,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
33,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
38,Quang Ngai,VN,83.03,few clouds,15.1167,108.8,Central Hotel
39,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
42,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Songkhla,TH,86.05,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
46,Faanui,PF,80.56,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
55,Cabrera,DO,79.32,scattered clouds,19.6426,-69.9049,Terramar Hotel
56,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
58,Butaritari,KI,82.49,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
63,Saint-Pierre,RE,80.56,clear sky,-21.3393,55.4781,Lindsey Hôtel
66,Airai,TL,80.38,broken clouds,-8.9266,125.4092,Juvinal Martin
67,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
77,Kavieng,PG,85.03,light rain,-2.5744,150.7967,Nusa Island Retreat
82,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
93,Atuona,PF,78.06,clear sky,-9.8,-139.0333,Villa Enata
94,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
98,Puerto El Triunfo,SV,83.32,broken clouds,13.2833,-88.55,Hotel Jardin
101,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
103,Piacabucu,BR,77.77,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
108,Amahai,ID,86.83,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
111,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
123,Manaure,CO,81.82,broken clouds,11.7751,-72.4445,Hotel Palaaima
126,Hobyo,SO,79.21,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
129,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
131,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
140,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
142,Port-Gentil,GA,78.6,light rain,-0.7193,8.7815,Fengshui Residence
150,Wajir,KE,75.81,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
152,Saint-Philippe,RE,80.47,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
154,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
158,Hirara,JP,82.26,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
160,Saint-Joseph,RE,79.47,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
164,Meulaboh,ID,79.83,light rain,4.1363,96.1285,Kost Pria
