City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,60.48,39,91,3.83,overcast clouds
1,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,60.28,72,100,5.37,overcast clouds
2,Podgornoye,RU,51.735,39.1496,43.02,81,75,11.18,broken clouds
3,Lerwick,GB,60.1545,-1.1494,50.0,84,99,22.75,overcast clouds
4,La Asuncion,VE,11.0333,-63.8628,78.69,87,60,12.91,broken clouds
5,Tiksi,RU,71.6872,128.8694,0.19,87,100,15.95,overcast clouds
6,Cuamba,MZ,-14.8031,36.5372,71.42,56,3,2.91,clear sky
7,Yuancheng,CN,36.652,107.7896,22.33,45,0,21.32,clear sky
8,Ushuaia,AR,-54.8,-68.3,40.66,100,90,11.5,light intensity drizzle
9,Rikitea,PF,-23.1203,-134.9692,75.52,83,98,13.85,overcast clouds
10,Sarkand,KZ,45.41,79.9186,24.66,74,1,3.78,clear sky
11,Coahuayana,MX,18.7333,-103.6833,77.14,90,100,2.15,overcast clouds
12,Adrar,MR,20.5022,-10.0711,67.53,34,39,8.05,scattered clouds
13,Sinnamary,GF,5.3833,-52.95,77.86,88,100,7.54,overcast clouds
14,Tuktoyaktuk,CA,69.4541,-133.0374,8.22,92,11,7.25,few clouds
15,Ancud,CL,-41.8697,-73.8203,49.42,92,8,5.53,clear sky
16,Kavaratti,IN,10.5669,72.642,81.73,72,95,9.82,overcast clouds
17,Ribeira Grande,PT,38.5167,-28.7,69.89,86,90,27.13,overcast clouds
18,Hilo,US,19.7297,-155.09,80.33,66,40,3.44,scattered clouds
19,Bowen,AU,-20.0167,148.2333,81.97,61,75,11.21,broken clouds
20,Zhigansk,RU,66.7697,123.3711,-1.88,90,100,13.67,overcast clouds
21,Sakakah,SA,29.9697,40.2064,56.77,39,0,4.23,clear sky
22,Ulaangom,MN,49.9811,92.0667,16.63,62,99,1.59,overcast clouds
23,Rio Hato,PA,8.3833,-80.1667,80.78,86,49,5.61,scattered clouds
24,Roald,NO,62.5833,6.1333,44.01,65,100,19.57,overcast clouds
